Mark,WIND,Competitor,Nat,Venue,Date
9.82,0.0,Yohan BLAKE,JAM,"Letzigrund, ZÃ¼rich (SUI)",2011-09-08
9.82,5.0,Usain BOLT,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2010-07-08
9.82,6.0,Asafa POWELL,JAM,"Stadio Olimpico, Roma (ITA)",2010-06-10
9.82,14.0,Asafa POWELL,JAM,Szczecin (POL),2009-09-15
9.82,13.0,Christian COLEMAN,USA,"Eugene, OR (USA)",2017-06-07
9.82,17.0,Richard THOMPSON,TTO,Port-of-Spain (TTO),2014-06-21
9.84,16.0,Trayvon BROMELL,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
9.84,13.0,Trayvon BROMELL,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
9.85,10.0,Richard THOMPSON,TTO,Port-of-Spain (TTO),2011-08-13
9.85,13.0,Michael RODGERS,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04
9.85,-3.0,Justin GATLIN,USA,"Luzhniki, Moskva (RUS)",2013-08-11
9.85,6.0,Asafa POWELL,JAM,"Bislett Stadion, Oslo (NOR)",2012-06-07
9.86,8.0,Divine ODUDURU,NGR,"Austin, TX (USA)",2019-06-07
9.86,11.0,Keston BLEDMAN,TTO,Port-of-Spain (TTO),2015-06-27
9.86,18.0,Jimmy VICAUT,FRA,Montreuil-sous-Bois (FRA),2016-06-07
9.86,18.0,Tyson GAY,USA,"Hayward Field, Eugene, OR (USA)",2012-06-24
9.86,14.0,Keston BLEDMAN,TTO,Port-of-Spain (TTO),2012-06-23
9.86,16.0,Michael NORMAN,USA,"AP Ranch, Fort Worth, TX (USA)",2020-07-20
9.86,13.0,Jimmy VICAUT,FRA,Paris (FRA),2015-07-04
9.86,9.0,Noah LYLES,USA,"Shanghai Stadium, Shanghai (CHN)",2019-05-18
9.86,9.0,Michael RODGERS,USA,"National Stadium, Beijing (CHN)",2015-08-23
9.87,-1.0,Justin GATLIN,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",2019-06-30
9.87,0.0,Tyson GAY,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
9.87,-1.0,Ronnie BAKER,USA,"Stadion ÅšlÄ…ski, ChorzÃ³w (POL)",2018-08-22
9.87,16.0,Asafa POWELL,JAM,"Austin, TX (USA)",2014-08-23
9.87,18.0,Nesta CARTER,JAM,"Moratalaz, Madrid (ESP)",2013-07-13
9.88,9.0,Ryan BAILEY,USA,"Guidobaldi, Rieti (ITA)",2010-08-29
9.88,11.0,Noah LYLES,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-22
9.88,15.0,Ryan BAILEY,USA,"Olympic Stadium, London (GBR)",2012-08-04
9.88,10.0,Michael FRATER,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30
9.88,10.0,Walter DIX,USA,Luzern (SUI),2010-08-08
9.89,-4.0,Yohan BLAKE,JAM,"Crystal Palace, London (GBR)",2010-08-13
9.89,19.0,Akani SIMBINE,RSA,"SÃ³stÃ³i Stadion, SzÃ©kesfehÃ©rvÃ¡r (HUN)",2016-07-18
9.89,13.0,Ngonidzashe MAKUSHA,ZIM,"Des Moines, IA (USA)",2011-06-10
9.89,13.0,Nesta CARTER,JAM,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16
9.89,20.0,Darvis PATTON,USA,Shanghai (CHN),2009-09-20
9.89,0.0,Richard THOMPSON,TTO,"National Stadium, Beijing (CHN)",2008-08-16
9.89,16.0,Darvis PATTON,USA,"Eugene, OR (USA)",2008-06-28
9.89,16.0,Travis PADGETT,USA,"Eugene, OR (USA)",2008-06-28
9.89,14.0,Michael RODGERS,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-21
9.9,14.0,Trayvon BROMELL,USA,"National Training Center, Clermont, FL (USA)",2020-07-24
9.9,18.0,Joseph Obinna METU,NGR,Kaduna (NGR),2014-10-31
9.9,0.0,Henry VIZCAÃNO,CUB,La Habana (CUB),2008-06-01
9.9,9.0,Noah LYLES,USA,"Fairfax, VA (USA)",2016-05-27
9.9,19.0,Reynier MENA,CUB,La Habana (CUB),2017-02-24
9.9,-21.0,Roberto SKYERS,CUB,La Habana (CUB),2017-03-14
9.9,-21.0,Edel Rogelio AMORES,CUB,La Habana (CUB),2017-03-14
9.9,6.0,Aziz OUHADI,MAR,Damascus (SYR),2009-10-07
9.9,9.0,Yohan BLAKE,JAM,Kingston (JAM),2017-06-23
9.9,6.0,AndrÃ© DE GRASSE,CAN,"Khalifa International Stadium, Doha (QAT)",2019-09-28
9.9,9.0,Edward OSEI-NKETIA,NZL,Canberra (AUS),2018-11-24
9.9,16.0,VÃ­ctor A. GONZÃLEZ,CUB,La Habana (CUB),2010-02-18
9.9,6.0,Michael RODGERS,USA,"Boudewijnstadion, Bruxelles (BEL)",2013-09-06
9.9,4.0,Nickel ASHMEADE,JAM,"Luzhniki, Moskva (RUS)",2013-08-11
9.9,0.0,Yunier PÃ‰REZ,CUB,La Habana (CUB),2010-03-19
9.9,0.0,Cruz Rolando PALACIOS,HON,La Habana (CUB),2010-03-19
9.9,0.0,Roberto SKYERS,CUB,La Habana (CUB),2010-03-19
9.91,6.0,Femi OGUNODE,QAT,"Gainesville, FL (USA)",2016-04-22
9.91,2.0,AndrÃ© DE GRASSE,CAN,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-14
9.91,11.0,James DASAOLU,GBR,Birmingham (GBR),2013-07-13
9.91,9.0,Nickel ASHMEADE,JAM,Kingston (JAM),2015-06-26
9.91,18.0,Femi OGUNODE,QAT,Wuhan (CHN),2015-06-04
9.91,10.0,Julian FORTE,JAM,"Olympiastadion, Berlin (GER)",2017-08-27
9.91,20.0,Nesta CARTER,JAM,Shanghai (CHN),2009-09-20
9.91,-2.0,Daniel BAILEY,ANT,Paris-St-Denis (FRA),2009-07-17
9.91,17.0,Akani SIMBINE,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14
9.91,0.0,Walter DIX,USA,"National Stadium, Beijing (CHN)",2008-08-16
9.91,8.0,Jimmy VICAUT,FRA,"Stade CharlÃ©ty, Paris (FRA)",2018-06-30
9.91,2.0,Bingtian SU,CHN,"Moratalaz, Madrid (ESP)",2018-06-22
9.91,10.0,Michael RODGERS,USA,London (GBR),2014-07-20
9.91,7.0,Churandy MARTINA,NED,"Olympic Stadium, London (GBR)",2012-08-05
9.91,4.0,Zharnel HUGHES,GBR,Kingston (JAM),2018-06-09
9.92,20.0,Christophe LEMAITRE,FRA,Albi (FRA),2011-07-29
9.92,12.0,Akani SIMBINE,RSA,Pretoria (RSA),2017-03-18
9.92,-8.0,Justin GATLIN,USA,"Olympic Stadium, London (GBR)",2017-08-05
9.92,19.0,Asafa POWELL,JAM,"SÃ³stÃ³i Stadion, SzÃ©kesfehÃ©rvÃ¡r (HUN)",2016-07-18
9.92,7.0,Isiah YOUNG,USA,"Montverde, FL (USA)",2018-06-09
9.92,9.0,Jak Ali HARVEY,TUR,Erzurum (TUR),2016-06-12
9.92,-8.0,Kemar BAILEY-COLE,JAM,"Olympic Stadium, London (GBR)",2015-07-24
9.92,-5.0,AndrÃ© DE GRASSE,CAN,"National Stadium, Beijing (CHN)",2015-08-23
9.93,19.0,Arthur CISSÃ‰,CIV,Leverkusen (GER),2019-07-24
9.93,14.0,Cameron BURRELL,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-21
9.93,2.0,Akani SIMBINE,RSA,"Olympic Stadium, London (GBR)",2018-07-21
9.93,2.0,Yohan BLAKE,JAM,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-14
9.93,8.0,Cameron BURRELL,USA,"Eugene, OR (USA)",2017-06-07
9.93,16.0,Christopher BELCHER,USA,"Eugene, OR (USA)",2017-06-07
9.93,4.0,Kemar BAILEY-COLE,JAM,"Luzhniki, Moskva (RUS)",2013-08-11
9.93,9.0,Richard THOMPSON,TTO,"Olympiastadion, Berlin (GER)",2009-08-16
9.93,11.0,Ivory WILLIAMS,USA,Rethymno (GRE),2009-07-20
9.93,0.0,Churandy MARTINA,AHO,"National Stadium, Beijing (CHN)",2008-08-16
9.93,5.0,Akani SIMBINE,RSA,"Olympic Stadium, London (GBR)",2019-07-20
9.93,19.0,Kim COLLINS,SKN,Bottrop (GER),2016-05-29
9.93,20.0,Marvin BRACY,USA,"Alexander Stadium, Birmingham (GBR)",2015-06-07
9.93,4.0,Femi OGUNODE,QAT,Incheon (KOR),2014-09-28
9.93,1.0,Tyson GAY,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03
9.93,18.0,Kemarley BROWN,JAM,"Walnut, CA (USA)",2014-05-17
9.93,18.0,Ryan BAILEY,USA,"National Stadium, Kingston (JAM)",2015-05-09
9.93,17.0,Clayton VAUGHN,USA,"Mobile, AL (USA)",2015-05-08
9.93,10.0,Keston BLEDMAN,TTO,"Clermont, FL (USA)",2011-06-04
9.93,13.0,Nickel ASHMEADE,JAM,"Hayward Field, Eugene, OR (USA)",2012-06-02
9.93,8.0,Cravon GILLESPIE,USA,"Austin, TX (USA)",2019-06-07
9.94,9.0,Wayde VAN NIEKERK,RSA,Velenje (SLO),2017-06-20
9.94,13.0,Walter DIX,USA,"Hayward Field, Eugene, OR (USA)",2011-06-24
9.94,13.0,Darvis PATTON,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04
9.94,16.0,Ivory WILLIAMS,USA,"Eugene, OR (USA)",2008-06-28
9.94,18.0,Michael RODGERS,USA,"Hayward Field, Eugene, OR (USA)",2012-06-24
9.94,11.0,Michael FRATER,JAM,Kingston (JAM),2012-06-29
9.94,17.0,Michael RODGERS,USA,"Eugene, OR (USA)",2009-06-07
9.94,18.0,Marvin BRACY,USA,"Montverde, FL (USA)",2016-06-11
9.94,10.0,Nickel ASHMEADE,JAM,Kingston (JAM),2016-06-11
9.94,10.0,Ameer WEBB,USA,"Stadio Olimpico, Roma (ITA)",2016-06-02
9.94,-2.0,Arthur CISSÃ‰,CIV,Leverkusen (GER),2018-06-16
9.94,17.0,Diondre BATSON,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
9.94,14.0,Andrew FISHER,JAM,"Moratalaz, Madrid (ESP)",2015-07-11
9.94,-5.0,Reece PRESCOD,GBR,"Alexander Stadium, Birmingham (GBR)",2018-08-18
9.94,-3.0,Yohan BLAKE,JAM,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31
9.95,18.0,Kemar HYMAN,CAY,"Moratalaz, Madrid (ESP)",2012-07-07
9.95,5.0,Zharnel HUGHES,GBR,"Olympic Stadium, London (GBR)",2019-07-20
9.95,3.0,Jimmy VICAUT,FRA,Paris (FRA),2013-07-13
9.95,17.0,Jimmy VICAUT,FRA,Aix-les-Bains (FRA),2014-05-18
9.95,15.0,Nesta CARTER,JAM,Kingston (JAM),2012-06-29
9.95,16.0,Rodney MARTIN,USA,"Eugene, OR (USA)",2008-06-28
9.95,9.0,Mario FORSYTHE,JAM,"Guidobaldi, Rieti (ITA)",2010-08-29
9.95,17.0,Christian COLEMAN,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
9.95,7.0,Usain BOLT,JAM,"Stade Louis II, Monaco (MON)",2017-07-21
9.95,12.0,Thando ROTO,RSA,Pretoria (RSA),2017-03-18
9.95,13.0,Justin GATLIN,USA,"Hayward Field, Eugene, OR (USA)",2011-06-24
9.95,8.0,Ivory WILLIAMS,USA,"Lawrence, KS (USA)",2010-04-17
9.95,-8.0,Trell KIMMONS,USA,"Letzigrund, ZÃ¼rich (SUI)",2010-08-19
9.96,14.0,Richard THOMPSON,TTO,Port-of-Spain (TTO),2012-06-23
9.96,13.0,Quentin BUTLER,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
9.96,14.0,Harry ADAMS,USA,"Des Moines, IA (USA)",2012-06-06
9.96,16.0,Senoj-Jay GIVANS,JAM,"Eugene, OR (USA)",2016-06-08
9.96,20.0,Aaron BROWN,CAN,"Montverde, FL (USA)",2016-06-11
9.96,20.0,Joel FEARON,GBR,Bedford (GBR),2016-07-30
9.96,2.0,Ben Youssef MEITÃ‰,CIV,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-14
9.96,4.0,Yohan BLAKE,JAM,Kingston (JAM),2019-06-21
9.96,-4.0,Dentarius LOCKE,USA,"Stade Louis II, Monaco (MON)",2013-07-19
9.96,2.0,Tyquendo TRACEY,JAM,"Olympic Stadium, London (GBR)",2018-07-21
9.96,18.0,Darvis PATTON,USA,"Hayward Field, Eugene, OR (USA)",2012-06-24
9.96,14.0,Chijindu UJAH,GBR,"Blankers-Koen Stadion, Hengelo (NED)",2014-06-08
9.96,10.0,Kim COLLINS,SKN,London (GBR),2014-07-20
9.96,20.0,Nesta CARTER,JAM,"Olympiastadion, Stockholm (SWE)",2014-08-21
9.96,-3.0,Kemar BAILEY-COLE,JAM,"Letzigrund, ZÃ¼rich (SUI)",2014-08-28
9.96,11.0,Nickel ASHMEADE,JAM,"Clermont, FL (USA)",2011-06-04
9.96,17.0,Aaron BROWN,CAN,Montreal (CAN),2019-07-26
9.96,16.0,Raymond EKEVWO,NGR,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2019-08-27
9.96,-8.0,Chijindu UJAH,GBR,"Olympic Stadium, London (GBR)",2015-07-24
9.97,13.0,Rakieem SALAAM,USA,"Des Moines, IA (USA)",2011-06-10
9.97,0.0,Michael FRATER,JAM,"National Stadium, Beijing (CHN)",2008-08-16
9.97,-1.0,Churandy MARTINA,AHO,"Blankers-Koen Stadion, Hengelo (NED)",2009-06-01
9.97,-5.0,Marc BURNS,TTO,"Crystal Palace, London (GBR)",2008-07-25
9.97,19.0,AndrÃ© DE GRASSE,CAN,"National Training Center, Clermont, FL (USA)",2020-07-24
9.97,9.0,Christophe LEMAITRE,FRA,"Guidobaldi, Rieti (ITA)",2010-08-29
9.97,16.0,Michael RODGERS,USA,"Estadio Vallehermoso, Madrid (ESP)",2019-08-25
9.97,18.0,Trayvon BROMELL,USA,"Eugene, OR (USA)",2014-06-13
9.97,15.0,Ramil GULIYEV,TUR,Bursa (TUR),2017-07-06
9.97,3.0,Nickel ASHMEADE,JAM,"Hampden Park, Glasgow (GBR)",2014-07-11
9.97,5.0,Jimmy VICAUT,FRA,Dijon (FRA),2017-05-21
9.97,15.0,Isiah YOUNG,USA,"Sacramento, CA (USA)",2017-06-22
9.97,9.0,Jaylen BACON,USA,"Sacramento, CA (USA)",2018-05-25
9.97,9.0,Zhenye XIE,CHN,Montreuil (FRA),2018-06-19
9.97,17.0,Barakat AL HARTHI,OMA,Amman (JOR),2018-07-09
9.97,5.0,Daniel BAILEY,ANT,Strasbourg (FRA),2011-06-12
9.97,17.0,Richard THOMPSON,TTO,Port-of-Spain (TTO),2016-06-25
9.97,20.0,Tyson GAY,USA,"Montverde, FL (USA)",2016-06-11
9.97,0.0,Chijindu UJAH,GBR,"Letzigrund, ZÃ¼rich (SUI)",2017-08-24
9.97,3.0,Kemar BAILEY-COLE,JAM,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07
9.97,9.0,Reece PRESCOD,GBR,"Shanghai Stadium, Shanghai (CHN)",2019-05-18
9.97,8.0,Abdul Hakim SANI BROWN,JPN,"Austin, TX (USA)",2019-06-07
9.97,-1.0,Michael RODGERS,USA,"National Stadium, Beijing (CHN)",2016-05-18
9.97,0.0,Akani SIMBINE,RSA,"Main Stadium, Gwangju (KOR)",2015-07-09
9.97,20.0,Adam GEMILI,GBR,"Alexander Stadium, Birmingham (GBR)",2015-06-07
9.97,8.0,Henrico BRUINTJIES,RSA,La Chaux-de-Fonds (SUI),2015-07-05
9.97,0.0,Ben Youssef MEITÃ‰,CIV,"Letzigrund, ZÃ¼rich (SUI)",2017-08-24
9.97,20.0,Kim COLLINS,SKN,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04
9.98,18.0,Yoshihide KIRYU,JPN,Fukui (JPN),2017-09-09
9.98,14.0,Simon MAGAKWE,RSA,Pretoria (RSA),2014-04-12
9.98,-6.0,Usain BOLT,JAM,"Stadion PGE Narodowy, Warszawa (POL)",2014-08-23
9.98,19.0,Andre EWERS,JAM,"Tampa, FL (USA)",2018-05-25
9.98,20.0,Odean SKEEN,JAM,"Auburn, AL (USA)",2017-04-22
9.98,10.0,Rakieem SALAAM,USA,"Auburn, AL (USA)",2012-04-21
9.98,9.0,Michael FRATER,JAM,"Guidobaldi, Rieti (ITA)",2010-08-29
9.98,5.0,Yuki KOIKE,JPN,"Olympic Stadium, London (GBR)",2019-07-20
9.98,18.0,Nesta CARTER,JAM,"National Stadium, Kingston (JAM)",2015-05-09
9.98,4.0,Ronnie BAKER,USA,"National Stadium, Kingston (JAM)",2017-05-20
9.98,15.0,Wayde VAN NIEKERK,RSA,Bloemfontein (RSA),2016-03-12
9.98,10.0,Roberto SKYERS,CUB,CamagÃ¼ey (CUB),2019-02-22
9.98,18.0,Kim COLLINS,SKN,Basseterre (SKN),2015-06-13
9.98,11.0,Charles SILMON,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
9.98,19.0,Gabriel MVUMVURE,ZIM,"Montverde, FL (USA)",2013-06-08
9.98,10.0,Nesta CARTER,JAM,Stockholm (SWE),2008-07-22
9.98,13.0,Mario BURKE,BAR,"Austin, TX (USA)",2019-06-05
9.99,11.0,Dwain CHAMBERS,GBR,"Fana Stadion, Bergen (NOR)",2010-06-19
9.99,15.0,Bingtian SU,CHN,"Hayward Field, Eugene, OR (USA)",2015-05-30
9.99,4.0,Lerone CLARKE,JAM,"Suhaim bin Hamad Stadium, Doha (QAT)",2012-05-11
9.99,20.0,Travis PADGETT,USA,"Clermont, FL (USA)",2011-05-21
9.99,4.0,Jak Ali HARVEY,TUR,Bellinzona (SUI),2018-07-18
9.99,2.0,Filippo TORTU,ITA,"Moratalaz, Madrid (ESP)",2018-06-22
9.99,11.0,Kendal WILLIAMS,USA,"Knoxville, TN (USA)",2018-05-13
9.99,17.0,Rondel SORRILLO,TTO,Port-of-Spain (TTO),2016-06-25
9.99,17.0,Beejay LEE,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
9.99,6.0,Nethaneel MITCHELL-BLAKE,GBR,"Columbia, SC (USA)",2017-05-13
9.99,7.0,Walter DIX,USA,"Guidobaldi, Rieti (ITA)",2013-09-08
9.99,3.0,Isiah YOUNG,USA,"Greensboro, NC (USA)",2013-05-23
9.99,20.0,Omar MCLEOD,JAM,"Fayetteville, AR (USA)",2016-04-23
9.99,4.0,Lerone CLARKE,JAM,"Letzigrund, ZÃ¼rich (SUI)",2009-08-28
9.99,16.0,Bryce ROBINSON,USA,"Storrs, CT (USA)",2015-05-16
9.99,18.0,Isiah YOUNG,USA,"Montverde, FL (USA)",2019-07-06
9.99,16.0,Mark JELKS,USA,"Eugene, OR (USA)",2008-06-28
9.99,10.0,Jaysuma SAIDY NDURE,NOR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30
10.0,16.0,Marc BURNS,TTO,Luzern (SUI),2012-07-17
10.0,17.0,Keston BLEDMAN,TTO,Port-of-Spain (TTO),2014-06-21
10.0,15.0,Divine ODUDURU,NGR,Lagos (NGR),2016-05-04
10.0,9.0,Jordan SHELLEY,AUS,Canberra (AUS),2018-11-24
10.0,13.0,Maurice MITCHELL,USA,"Des Moines, IA (USA)",2011-06-10
10.0,4.0,Kim COLLINS,SKN,Guadalajara (MEX),2011-10-24
10.0,16.0,Dwain CHAMBERS,GBR,Birmingham (GBR),2008-07-12
10.0,16.0,Xavier CARTER,USA,"Eugene, OR (USA)",2008-06-28
10.0,4.0,Chris JOHNSON,USA,"Mesquite, TX (USA)",2008-06-14
10.0,11.0,Ronnie BAKER,USA,"AP Ranch, Fort Worth, TX (USA)",2020-07-23
10.0,4.0,Tyquendo TRACEY,JAM,Kingston (JAM),2019-06-21
10.0,6.0,Mohamed FARHAN,BRN,Damascus (SYR),2009-10-07
10.0,16.0,Trentavis FRIDAY,USA,"Eugene, OR (USA)",2014-07-05
10.0,2.0,Rytis SAKALAUSKAS,LTU,Vilnius (LTU),2009-05-08
10.0,2.0,Martynas JURGILAS,LTU,Vilnius (LTU),2009-05-08
10.0,-5.0,Xavier BROWN,JAM,Pointe-a-Pierre (TTO),2009-03-28
10.0,18.0,Harry CHUKWUDIKE,NGR,Kaduna (NGR),2014-10-31
10.0,19.0,Harlyn PÃ‰REZ,CUB,La Habana (CUB),2017-02-24
10.0,6.0,James DASAOLU,GBR,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05
10.0,4.0,Michael HERRERA,CUB,La Habana (CUB),2008-02-16
10.0,20.0,Jaylen BACON,USA,"Arlington, TX (USA)",2017-05-13
10.0,10.0,Yohann DAMBAS,FRA,Les Abymes (FRA),2008-03-08
10.0,10.0,Loic NANNETTE,FRA,Les Abymes (FRA),2008-03-08
10.0,0.0,Alejandro HERRERA,CUB,La Habana (CUB),2010-03-19
10.0,10.0,Dylan RIGOT,FRA,Les Abymes (FRA),2008-03-08
10.0,0.0,Adetoye DUROTOYE,NGR,Port Harcourt (NGR),2013-05-18
10.0,19.0,John TEETERS,USA,"Hayward Field, Eugene, OR (USA)",2016-07-02
10.0,10.0,Kemar BAILEY-COLE,JAM,Kingston (JAM),2016-06-11
10.0,9.0,Marc BURNS,TTO,"Olympiastadion, Berlin (GER)",2009-08-16
10.0,9.0,Dwain CHAMBERS,GBR,"Olympiastadion, Berlin (GER)",2009-08-16
10.0,14.0,Trindon HOLLIDAY,USA,"Fayetteville, AR (USA)",2009-06-10
10.0,14.0,Travis PADGETT,USA,Doha (QAT),2009-05-08
10.0,0.0,Isiah YOUNG,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.0,-11.0,Walter DIX,USA,"Tallahassee, FL (USA)",2009-04-11
10.0,9.0,Jaysuma SAIDY NDURE,NOR,"Guidobaldi, Rieti (ITA)",2010-08-29
10.0,-1.0,Daniel BAILEY,ANT,Reims (FRA),2010-06-30
10.0,4.0,Peimeng ZHANG,CHN,"Luzhniki, Moskva (RUS)",2013-08-11
10.0,4.0,Christophe LEMAITRE,FRA,"Luzhniki, Moskva (RUS)",2013-08-11
10.0,0.0,VÃ­ctor A. GONZÃLEZ,CUB,La Habana (CUB),2008-02-08
10.0,10.0,JosÃ© Carlos MOREIRA,BRA,Santiago de Chile (CHI),2008-03-20
10.0,13.0,Kyree KING,USA,"Eugene, OR (USA)",2017-06-07
10.0,12.0,Michael RODGERS,USA,"Sacramento, CA (USA)",2017-06-22
10.0,20.0,Yunier PÃ‰REZ,CUB,"Moratalaz, Madrid (ESP)",2017-07-14
10.0,2.0,Ryota YAMAGATA,JPN,Osaka (JPN),2017-09-24
10.0,2.0,Ogho-Oghene EGWERO,NGR,Abuja (NGR),2008-06-23
10.0,14.0,Rae Monzavous EDWARDS,USA,"Icahn Stadium, New York, NY (USA)",2010-06-12
10.0,8.0,Ryota YAMAGATA,JPN,Jakarta (INA),2018-08-26
10.0,8.0,Tosin OGUNODE,QAT,Jakarta (INA),2018-08-26
10.0,5.0,Cejhae GREENE,ANT,Barranquilla (COL),2018-07-29
10.0,9.0,Michael RODGERS,USA,"Guidobaldi, Rieti (ITA)",2010-08-29
10.0,-7.0,Yaniel CARRERO,CUB,La Habana (CUB),2013-03-16
10.01,2.0,Lerone CLARKE,JAM,Guadalajara (MEX),2011-10-25
10.01,20.0,Dwain CHAMBERS,GBR,SÃ£o Paulo (BRA),2011-05-22
10.01,9.0,Yoshihide KIRYU,JPN,Hiroshima (JPN),2013-04-28
10.01,0.0,Cejhae GREENE,ANT,"Athens, GA (USA)",2016-04-30
10.01,13.0,Devin QUINN,USA,"Austin, TX (USA)",2019-06-05
10.01,20.0,Antoine ADAMS,SKN,Basseterre (SKN),2013-06-16
10.01,18.0,Yoshihide KIRYU,JPN,Hiratsuka (JPN),2016-06-11
10.01,19.0,Richard KILTY,GBR,Hexham (GBR),2016-07-16
10.01,18.0,Julian REUS,GER,Mannheim (GER),2016-07-29
10.01,7.0,Richard THOMPSON,TTO,Port-of-Spain (TTO),2010-06-26
10.01,14.0,Keston BLEDMAN,TTO,"Icahn Stadium, New York, NY (USA)",2010-06-12
10.01,2.0,AndrÃ© DE GRASSE,CAN,"Bislett Stadion, Oslo (NOR)",2017-06-15
10.01,2.0,Chijindu UJAH,GBR,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-14
10.01,-1.0,Churandy MARTINA,NED,Paris (FRA),2016-08-27
10.01,11.0,Rakieem SALAAM,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.01,20.0,Jason ROGERS,SKN,Basseterre (SKN),2013-06-16
10.01,11.0,Wilfried KOFFI HUA,CIV,"Tempe, AZ (USA)",2016-04-09
10.01,17.0,Yoshihide KIRYU,JPN,"Nagai Stadium, Osaka (JPN)",2019-05-19
10.01,-7.0,Alonso EDWARD,PAN,Cochabamba (BOL),2018-06-06
10.01,11.0,Samson COLEBROOKE,BAH,Queretaro (MEX),2019-07-05
10.01,16.0,Jeff DEMPS,USA,"Eugene, OR (USA)",2008-06-28
