Mark,WIND,Competitor,Nat,Venue,Date
10.9,15.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04
10.9,19.0,Aleia HOBBS,USA,"Tampa, FL (USA)",2018-05-25
10.9,10.0,Michelle-Lee AHYE,TTO,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-13
10.9,10.0,Lauryn WILLIAMS,USA,"Eugene, OR (USA)",2008-06-28
10.9,4.0,Kelly-Ann BAPTISTE,TTO,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16
10.9,18.0,Shalonda SOLOMON,USA,"Clermont, FL (USA)",2010-06-05
10.91,18.0,Alexandria ANDERSON,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.91,-2.0,RosÃ¢ngela SANTOS,BRA,"Olympic Stadium, London (GBR)",2017-08-06
10.91,15.0,Murielle AHOURÃ‰,CIV,Sotteville-lÃ¨s-Rouen (FRA),2013-07-08
10.92,14.0,Jenna PRANDINI,USA,"Walnut, CA (USA)",2015-04-18
10.92,16.0,Barbara PIERRE,USA,"CIBC, Toronto (CAN)",2015-07-21
10.92,10.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Olympic Stadium, London (GBR)",2012-08-04
10.92,12.0,Jasmine TODD,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.92,20.0,Tianna BARTOLETTA,USA,"Sacramento, CA (USA)",2014-06-27
10.93,7.0,Carmelita JETER,USA,"Olympic Stadium, London (GBR)",2013-07-27
10.93,15.0,Elaine THOMPSON,JAM,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04
10.93,10.0,Marshevet HOOKER,USA,"Eugene, OR (USA)",2008-06-28
10.93,15.0,Allyson FELIX,USA,Doha (QAT),2008-05-09
10.93,12.0,Jeneba TARMOH,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.93,18.0,Jeneba TARMOH,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.94,17.0,Kelly-Ann BAPTISTE,TTO,Port-of-Spain (TTO),2009-06-19
10.94,6.0,Kerron STEWART,JAM,Kingston (JAM),2012-06-29
10.94,-1.0,Schillonie CALVERT-POWELL,JAM,"Mesa, AZ (USA)",2017-06-10
10.94,12.0,Tianna BARTOLETTA,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.95,9.0,Sherone SIMPSON,JAM,"CIBC, Toronto (CAN)",2015-07-22
10.95,11.0,Mujinga KAMBUNDJI,SUI,Zofingen (SUI),2018-07-13
10.95,8.0,Dafne SCHIPPERS,NED,"Azusa, CA (USA)",2017-04-14
10.95,13.0,Gina LÃœCKENKEMPER,GER,"Olympic Stadium, London (GBR)",2017-08-05
10.95,11.0,Sha'Carri RICHARDSON,USA,"Montverde Academy, Montverde, FL (USA)",2020-08-10
10.95,10.0,Morolake AKINOSUN,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
10.95,17.0,Jenna PRANDINI,USA,"Walnut, CA (USA)",2016-04-16
10.95,20.0,Shelly-Ann FRASER-PRYCE,JAM,"Hayward Field, Eugene, OR (USA)",2011-06-04
10.95,18.0,Simone FACEY,JAM,"Boulder, CO (USA)",2008-05-18
10.95,16.0,Kayla WHITE,USA,"Austin, TX (USA)",2019-06-08
10.96,19.0,Kimberlyn DUNCAN,USA,"Baton Rouge, LA (USA)",2012-05-13
10.96,3.0,Mikiah BRISCO,USA,"Eugene, OR (USA)",2017-06-10
10.96,14.0,Kerron STEWART,JAM,Kingston (JAM),2010-05-01
10.96,20.0,Aurieyall SCOTT,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.96,8.0,Ivet LALOVA-COLLIO,BUL,Sliven (BUL),2011-07-02
10.96,9.0,Jenna PRANDINI,USA,Toronto (CAN),2018-08-11
10.96,6.0,Ashley HENDERSON,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-22
10.96,10.0,Christania WILLIAMS,JAM,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-13
10.96,9.0,Natasha MORRISON,JAM,"National Stadium, Beijing (CHN)",2015-08-24
10.96,9.0,Kerron STEWART,JAM,Kingston (JAM),2013-06-21
10.97,0.0,Marshevet HOOKER,USA,"Letzigrund, ZÃ¼rich (SUI)",2010-08-19
10.97,12.0,LaShauntea MOORE,USA,Maringa (BRA),2010-05-30
10.97,8.0,Murielle AHOURÃ‰,CIV,"Stade Louis II, Monaco (MON)",2014-07-18
10.97,7.0,Carmelita JETER,USA,"Eugene, OR (USA)",2008-06-27
10.97,0.0,Debbie FERGUSON-MCKENZIE,BAH,"Stade Louis II, Monaco (MON)",2009-07-28
10.97,-25.0,Michelle-Lee AHYE,TTO,"Gainesville, FL (USA)",2015-04-03
10.97,18.0,Mechelle LEWIS,USA,"Eugene, OR (USA)",2008-06-28
10.98,5.0,Carrie RUSSELL,JAM,"Letzigrund, ZÃ¼rich (SUI)",2013-08-29
10.98,16.0,Twanisha TERRY,USA,"Austin, TX (USA)",2019-06-08
10.98,0.0,Gina LÃœCKENKEMPER,GER,"Olympiastadion, Berlin (GER)",2018-08-07
10.98,1.0,Shelly-Ann FRASER-PRYCE,JAM,"Olympic Stadium, London (GBR)",2018-07-21
10.98,15.0,Shania COLLINS,USA,"Eugene, OR (USA)",2018-06-07
10.98,15.0,Carina HORN,RSA,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04
10.98,7.0,Morolake AKINOSUN,USA,"Sacramento, CA (USA)",2017-06-22
10.98,14.0,Shaunae MILLER-UIBO,BAH,"National Training Center, Clermont, FL (USA)",2020-07-24
10.98,20.0,Candace HILL,USA,"Shoreline, WA (USA)",2015-06-20
10.99,18.0,Oludamola OSAYOMI,NGR,SÃ£o Paulo (BRA),2011-05-22
10.99,18.0,Dezerea BRYANT,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-21
10.99,17.0,Twanisha TERRY,USA,"Torrance, CA (USA)",2018-04-21
10.99,17.0,Hannah CUNLIFFE,USA,"Walnut, CA (USA)",2016-04-16
10.99,-14.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Olympic Stadium, London (GBR)",2017-07-09
10.99,12.0,Yongli WEI,CHN,La Chaux-de-Fonds (SUI),2018-07-01
10.99,14.0,Teahna DANIELS,USA,"Sacramento, CA (USA)",2019-05-24
10.99,13.0,Murielle AHOURÃ‰,CIV,"Olympic Stadium, London (GBR)",2012-08-03
10.99,4.0,Chandra STURRUP,BAH,"Stadio Olimpico, Roma (ITA)",2009-07-10
10.99,14.0,Barbara PIERRE,USA,"Sacramento, CA (USA)",2017-06-22
10.99,9.0,Ãngela Gabriela TENORIO,ECU,"CIBC, Toronto (CAN)",2015-07-22
10.99,1.0,Dina ASHER-SMITH,GBR,"Olympic Stadium, London (GBR)",2015-07-25
10.99,0.0,Dafne SCHIPPERS,NED,"Olympiastadion, Berlin (GER)",2018-08-07
11.0,12.0,Tatjana PINTO,GER,Mannheim (GER),2016-07-29
11.0,4.0,Simone FACEY,JAM,"Gainesville, FL (USA)",2016-04-22
11.0,15.0,Dezerea BRYANT,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
11.0,15.0,Samantha HENRY-ROBINSON,JAM,"Clermont, FL (USA)",2014-04-26
11.0,18.0,Muna LEE,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
11.0,18.0,Candyce MCGRONE,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
11.0,3.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Crystal Palace, London (GBR)",2010-08-14
11.0,20.0,Sherone SIMPSON,JAM,"Hayward Field, Eugene, OR (USA)",2011-06-04
11.0,7.0,Deajah STEVENS,USA,"Torrance, CA (USA)",2017-04-15
11.0,17.0,Lauryn WILLIAMS,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
11.0,-1.0,Mujinga KAMBUNDJI,SUI,"Stadion SchÃ¼tzenmatte, Basel (SUI)",2019-08-23
11.01,20.0,English GARDNER,USA,"Sacramento, CA (USA)",2014-06-27
11.01,8.0,Allyson FELIX,USA,"Stade Louis II, Monaco (MON)",2014-07-18
11.01,8.0,Shelly-Ann FRASER-PRYCE,JAM,"Stade Louis II, Monaco (MON)",2014-07-18
11.01,16.0,Aaliyah BROWN,USA,"Sacramento, CA (USA)",2017-06-22
11.01,-15.0,Ãngela Gabriela TENORIO,ECU,Cochabamba (BOL),2018-06-06
11.01,15.0,Carolle ZAHI,FRA,Albi (FRA),2018-07-07
11.01,14.0,Ana Claudia LEMOS,BRA,"Walnut, CA (USA)",2015-04-18
11.01,12.0,Carmelita JETER,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
11.01,14.0,Samantha HENRY-ROBINSON,JAM,San JosÃ© (CRC),2015-08-07
11.01,18.0,Ashley HENDERSON,USA,"Austin, TX (USA)",2017-05-26
11.01,1.0,Lauryn WILLIAMS,USA,"Olympiastadion, Berlin (GER)",2009-08-17
11.01,0.0,Veronica CAMPBELL-BROWN,JAM,"National Stadium, Kingston (JAM)",2013-05-04
11.01,6.0,Sherone SIMPSON,JAM,Kingston (JAM),2012-06-29
11.01,19.0,Ashley COLLIER,USA,"Manhattan, KS (USA)",2012-05-13
11.01,20.0,Arianna WASHINGTON,USA,"Hayward Field, Eugene, OR (USA)",2016-07-02
11.01,4.0,Carina HORN,RSA,"Estadio Vallehermoso, Madrid (ESP)",2019-08-25
11.01,18.0,Alexandria ANDERSON,USA,SÃ£o Paulo (BRA),2011-05-22
11.02,3.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,Sapele (NGR),2016-07-07
11.02,8.0,Briana WILLIAMS,JAM,"Albuquerque, NM (USA)",2019-06-08
11.02,6.0,Marie-JosÃ©e TA LOU,CIV,Brazzaville (CGO),2015-09-14
11.02,10.0,Angela WILLIAMS,USA,"Eugene, OR (USA)",2008-06-28
11.02,14.0,Muna LEE,USA,"Walnut, CA (USA)",2015-04-18
11.02,16.0,Kiara PARKER,USA,"Austin, TX (USA)",2019-06-08
11.02,3.0,Sherone SIMPSON,JAM,"International Stadium, Gateshead (GBR)",2010-07-10
11.02,-4.0,Kerron STEWART,JAM,Kingston (JAM),2014-06-27
11.02,11.0,Verena SAILER,GER,Weinheim (GER),2013-08-02
11.02,1.0,Murielle AHOURÃ‰,CIV,"Khalifa International Stadium, Doha (QAT)",2019-09-29
11.02,9.0,English GARDNER,USA,Rovereto (ITA),2018-08-23
11.02,20.0,Joanna ATKINS,USA,"Sacramento, CA (USA)",2014-06-27
11.02,15.0,Tamara CLARK,USA,"Knoxville, TN (USA)",2018-05-12
11.02,14.0,Alexandria ANDERSON,USA,"Fayetteville, AR (USA)",2009-06-10
11.03,7.0,Christania WILLIAMS,JAM,Kingston (JAM),2017-06-23
11.03,7.0,Allyson FELIX,USA,"Sacramento, CA (USA)",2017-06-22
11.03,14.0,Kimberlyn DUNCAN,USA,"Sacramento, CA (USA)",2017-06-22
11.03,11.0,Ruddy ZANG MILAMA,GAB,Port-of-Spain (TTO),2012-05-19
11.03,2.0,Aleia HOBBS,USA,"Shanghai Stadium, Shanghai (CHN)",2019-05-18
11.03,11.0,Gloria ASUMNU,USA,"Clermont, FL (USA)",2008-05-24
11.03,19.0,Tori BOWIE,USA,"Hayward Field, Eugene, OR (USA)",2018-05-26
11.03,8.0,Myriam SOUMARÃ‰,FRA,"Stade Louis II, Monaco (MON)",2014-07-18
11.03,9.0,Dafne SCHIPPERS,NED,"Hampden Park, Glasgow (GBR)",2014-07-12
11.03,17.0,Remona BURCHELL,JAM,"Jacksonville, FL (USA)",2014-05-30
11.03,18.0,LaShauntea MOORE,USA,"Eugene, OR (USA)",2008-06-28
11.03,6.0,English GARDNER,USA,"Tucson, AZ (USA)",2011-05-14
11.03,3.0,Vitoria Cristina ROSA,BRA,Guadalajara (ESP),2018-07-06
11.04,18.0,Alexandria ANDERSON,USA,"Clermont, FL (USA)",2010-06-05
11.04,7.0,Krystsina TSIMANOUSKAYA,BLR,Minsk (BLR),2018-07-11
11.04,11.0,Jada BAYLARK,USA,"Sacramento, CA (USA)",2018-05-25
11.04,-25.0,Remona BURCHELL,JAM,"Gainesville, FL (USA)",2015-04-03
11.04,2.0,Dafne SCHIPPERS,NED,"Stade Olympique de la Pontaise, Lausanne (SUI)",2019-07-05
11.04,4.0,Manqi GE,CHN,"Stade Olympique de la Pontaise, Lausanne (SUI)",2019-07-05
11.04,13.0,Shalonda SOLOMON,USA,"Icahn Stadium, New York, NY (USA)",2009-05-30
11.04,15.0,Natalliah WHYTE,JAM,"Knoxville, TN (USA)",2018-05-12
11.04,15.0,RosÃ¢ngela SANTOS,BRA,"Hayward Field, Eugene, OR (USA)",2015-05-30
11.04,19.0,Yongli WEI,CHN,La Chaux-de-Fonds (SUI),2019-06-30
11.04,15.0,Aleen BAILEY,JAM,Kingston (JAM),2012-06-29
11.04,8.0,Tianna BARTOLETTA,USA,"Olympiastadion, Berlin (GER)",2017-08-27
11.04,8.0,Simone FACEY,JAM,Kingston (JAM),2017-06-23
11.04,-2.0,English GARDNER,USA,"Sacramento, CA (USA)",2017-06-22
11.04,12.0,Gina LÃœCKENKEMPER,GER,Mannheim (GER),2016-07-29
11.04,15.0,Kelly-Ann BAPTISTE,TTO,Port-of-Spain (TTO),2016-06-25
11.04,12.0,Ivet LALOVA-COLLIO,BUL,"Bislett Stadion, Oslo (NOR)",2013-06-13
11.04,7.0,Blessing OKAGBARE,NGR,"Olympic Stadium, London (GBR)",2019-07-21
11.04,16.0,Kiara GRANT,JAM,"Austin, TX (USA)",2019-06-08
11.04,6.0,Jonielle SMITH,JAM,Kingston (JAM),2019-06-21
11.04,19.0,Tebogo MAMATHU,RSA,La Chaux-de-Fonds (SUI),2019-06-30
11.04,10.0,Tynia GAITHER,BAH,"Montverde, FL (USA)",2019-07-06
11.04,15.0,Shalonda SOLOMON,USA,"Moratalaz, Madrid (ESP)",2013-07-13
11.04,6.0,Morolake AKINOSUN,USA,"Eugene, OR (USA)",2014-06-11
11.05,14.0,Verena SAILER,GER,Weinheim (GER),2012-07-27
11.05,13.0,Sheri-Ann BROOKS,JAM,Edmonton (CAN),2012-06-16
11.05,13.0,Tianna BARTOLETTA,USA,"Icahn Stadium, New York, NY (USA)",2009-05-30
11.05,6.0,Schillonie CALVERT-POWELL,JAM,Kingston (JAM),2012-06-29
11.05,17.0,Yelena NEVMERZHITSKAYA,BLR,Grodno (BLR),2010-06-26
11.05,-7.0,Carrie RUSSELL,JAM,"National Stadium, Shenzhen (CHN)",2011-08-17
11.05,4.0,Mikiah BRISCO,USA,"Tampa, FL (USA)",2018-05-25
11.05,17.0,Schillonie CALVERT-POWELL,JAM,"Blankers-Koen Stadion, Hengelo (NED)",2011-05-29
11.05,3.0,Kim GEVAERT,BEL,Nivelles (BEL),2008-05-10
11.05,17.0,Ana Claudia LEMOS,BRA,"MangueirÃ£o, BelÃ©m (BRA)",2013-05-12
11.05,20.0,Barbara PIERRE,USA,"Sacramento, CA (USA)",2014-06-27
11.05,20.0,Destiny CARTER,USA,"Baton Rouge, LA (USA)",2017-04-29
11.05,14.0,Jenna PRANDINI,USA,"Sacramento, CA (USA)",2017-06-22
11.05,20.0,Montell DOUGLAS,GBR,Loughborough (GBR),2008-07-17
11.06,19.0,Murielle AHOURÃ‰,CIV,"Greensboro, NC (USA)",2011-05-15
11.06,19.0,Chandra STURRUP,BAH,Luzern (SUI),2008-07-16
11.06,15.0,Desiree HENRY,GBR,"Azusa, CA (USA)",2016-04-15
11.06,6.0,Anglerne ANNELUS,USA,"Austin, TX (USA)",2019-06-06
11.06,18.0,Rebekka HAASE,GER,Zeulenroda (GER),2017-05-25
11.06,17.0,Ivet LALOVA-COLLIO,BUL,Helsinki (FIN),2012-06-27
11.06,7.0,Arianna WASHINGTON,USA,"Torrance, CA (USA)",2017-04-15
11.06,8.0,Jura LEVY,JAM,Kingston (JAM),2017-06-23
11.06,9.0,Khalifa ST. FORT,TTO,Port-of-Spain (TTO),2017-06-24
11.06,11.0,Natasha MORRISON,JAM,Kingston (JAM),2014-06-27
11.06,16.0,Michelle-Lee AHYE,TTO,Port-of-Spain (TTO),2013-06-22
11.06,11.0,Mariya RYEMYEN,UKR,Yalta (UKR),2013-06-05
11.06,19.0,Kelly-Ann BAPTISTE,TTO,"Austin, TX (USA)",2008-04-05
11.06,2.0,Shalonda SOLOMON,USA,"Gainesville, FL (USA)",2015-04-24
11.06,-2.0,Allyson FELIX,USA,Manchester (GBR),2013-05-25
11.06,12.0,Carina HORN,RSA,"Moratalaz, Madrid (ESP)",2015-07-11
11.06,3.0,Teahna DANIELS,USA,"Eugene, OR (USA)",2017-06-10
11.06,16.0,Michelle-Lee AHYE,TTO,"Bislett Stadion, Oslo (NOR)",2018-06-07
11.06,15.0,Orlann OMBISSA-DZANGUE,FRA,Albi (FRA),2018-07-07
11.06,18.0,Lekeisha LAWSON,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25
11.07,-13.0,Dina ASHER-SMITH,GBR,"Olympic Stadium, London (GBR)",2016-07-23
11.07,16.0,Semoy HACKETT,TTO,"Montverde, FL (USA)",2018-06-09
11.07,0.0,Mujinga KAMBUNDJI,SUI,Bellinzona (SUI),2017-07-18
11.07,1.0,Jonielle SMITH,JAM,"Olympic Stadium, London (GBR)",2018-07-21
11.07,13.0,Aleen BAILEY,JAM,"Icahn Stadium, New York, NY (USA)",2009-05-30
11.07,7.0,Ewa SWOBODA,POL,"Olympiastadion, Berlin (GER)",2019-09-01
11.07,7.0,Bianca KNIGHT,USA,"Eugene, OR (USA)",2008-06-27
11.07,9.0,Candace HILL,USA,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",2016-07-21
11.07,18.0,Me'Lisa BARBER,USA,"Eugene, OR (USA)",2008-06-28
11.07,10.0,Semoy HACKETT,TTO,Port-of-Spain (TTO),2016-06-25
11.07,12.0,Mandy WHITE,USA,"Walnut, CA (USA)",2013-04-20
11.07,20.0,Charonda WILLIAMS,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
11.07,9.0,Schillonie CALVERT-POWELL,JAM,Kingston (JAM),2013-06-21
11.07,20.0,Lekeisha LAWSON,USA,"Sacramento, CA (USA)",2014-06-27
11.07,13.0,LaVerne JONES-FERRETTE,ISV,"Olympic Stadium, London (GBR)",2012-08-03
11.07,4.0,Myriam SOUMARÃ‰,FRA,"Olympic Stadium, London (GBR)",2012-08-03
11.07,9.0,Jeneba TARMOH,USA,"Hayward Field, Eugene, OR (USA)",2012-06-23
11.07,9.0,Sheniqua FERGUSON,BAH,"Auburn, AL (USA)",2012-04-21
11.07,9.0,Mujinga KAMBUNDJI,SUI,"National Stadium, Beijing (CHN)",2015-08-24
11.07,15.0,Lekeisha LAWSON,USA,"Chula Vista, CA (USA)",2016-06-18
11.07,18.0,Barbara PIERRE,USA,"Hayward Field, Eugene, OR (USA)",2016-07-02
11.07,18.0,Alexandria ANDERSON,USA,"Eugene, OR (USA)",2008-06-28
11.07,20.0,Carina HORN,RSA,Durban (RSA),2016-06-22
11.08,4.0,Shalonda SOLOMON,USA,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16
11.08,12.0,Olesya POVH,UKR,Yalta (UKR),2012-06-04
11.08,11.0,Schillonie CALVERT-POWELL,JAM,Kingston (JAM),2014-06-27
11.08,15.0,Candyce MCGRONE,USA,"Des Moines, IA (USA)",2011-06-10
11.08,7.0,Alexis WEATHERSPOON,USA,"Eugene, OR (USA)",2008-06-27
11.08,2.0,Oludamola OSAYOMI,NGR,Abuja (NGR),2008-07-02
11.08,7.0,Ajla DEL PONTE,SUI,"Stade Bouleyres, Bulle (SUI)",2020-07-11
11.08,15.0,Arianna WASHINGTON,USA,"Eugene, OR (USA)",2018-06-07
11.08,12.0,Ruddy ZANG MILAMA,GAB,"Greensboro, NC (USA)",2015-05-17
11.08,18.0,Aaliyah BROWN,USA,"Eugene, OR (USA)",2015-06-11
11.08,17.0,Tiffany TOWNSEND,USA,"Moratalaz, Madrid (ESP)",2015-07-11
11.08,9.0,Kimberlyn DUNCAN,USA,"Eugene, OR (USA)",2013-06-07
11.08,13.0,Allyson FELIX,USA,Rethymno (GRE),2009-07-20
11.08,20.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Hayward Field, Eugene, OR (USA)",2011-06-04
11.08,4.0,Sheri-Ann BROOKS,JAM,Baie Mahault (FRA),2010-05-01
11.08,10.0,Caitland SMITH,USA,"Montverde, FL (USA)",2019-07-06
11.08,4.0,Ivet LALOVA-COLLIO,BUL,"Estadio Vallehermoso, Madrid (ESP)",2019-08-25
11.09,8.0,Olga SAFRONOVA,KAZ,Almaty (KAZ),2016-05-24
11.09,15.0,Octavious FREEMAN,USA,"New Orleans, LA (USA)",2012-05-13
11.09,11.0,Debbie FERGUSON-MCKENZIE,BAH,"MestskÃ½ Stadion, Ostrava (CZE)",2011-05-31
